gene,Group,degree,tau
STAT1,FS Control,1206,0.9391099743030884
DMXL2,FS Control,144,0.6657244097101369
DHTKD1,FS Control,250,0.7527676414477198
TBX6,FS Control,184,0.8187771501646048
YAP1,FS Control,686,0.7695942845317276
POLE,FS Control,696,0.8390618106725203
ATR,FS Control,822,0.613141513226214
SCNN1G,FS Control,218,0.9155819705385908
TNNI3,FS Control,390,0.9925642285090464
NEFL,FS Control,382,0.9600801878426648
PSAP,FS Control,154,0.5368937038814113
CREB3L3,FS Control,212,0.9591506680529432
TFAP2B,FS Control,198,0.938796170879646
ARHGAP31,FS Control,64,0.7426895781741957
CASQ1,FS Control,128,0.9960368515246372
INSR,FS Control,560,0.7713804557270685
CPSF1,FS Control,410,0.6924566211686898
MYOCD,FS Control,196,0.8590340558835756
CTNNA3,FS Control,162,0.9568616740975175
ABCA1,FS Control,458,0.7919175278669509
GARS1,FS Control,410,0.8522903364082743
CSNK2B,FS Control,394,0.6622320857855554
HCN1,FS Control,54,0.9364509174669176
ATP1A1,FS Control,254,0.7186263125831132
EGFR,FS Control,2624,0.7860979497228963
CDC42BPB,FS Control,84,0.4627554459864947
CHD5,FS Control,112,0.9210802908021392
DSC2,FS Control,128,0.9557419418639144
CUX2,FS Control,182,0.9264334580453498
ADGRL1,FS Control,110,0.8607904093722077
SKI,FS Control,94,0.7975273341278701
LDB3,FS Control,418,0.9490717689443576
SH3TC2,FS Control,114,0.9298560618788096
SF3B4,FS Control,398,0.5425259479436714
KLHL24,FS Control,160,0.5270409086893303
FLT4,FS Control,428,0.8664605696491532
MYH2,FS Control,254,0.9998213793525836
MYH11,FS Control,472,0.915418239449379
ERBB4,FS Control,658,0.8075523181417986
FBN2,FS Control,202,0.9953463622648822
GLUL,FS Control,420,0.789101522902184
HOXA2,FS Control,108,0.7753015293034766
CACNA1D,FS Control,464,0.9161973998514258
MED13,FS Control,256,0.514832917225933
MYPN,FS Control,154,0.99174554934157
PUM1,FS Control,452,0.4895007761554327
FASLG,FS Control,494,0.9449899706318357
MAP1B,FS Control,326,0.8454990040639155
KMT2A,FS Control,632,0.6591032370191089
POLRMT,FS Control,246,0.7224825244165622
SYNE2,FS Control,268,0.7076525167450223
IMPG2,FS Control,168,0.750978630850624
MSTO1,FS Control,88,0.7741421596276721
PLIN1,FS Control,302,0.9805693984991526
NODAL,FS Control,172,0.7607216373410923
DNA2,FS Control,528,0.8826307710855908
RLBP1,FS Control,204,0.8931406858812652
GABBR2,FS Control,332,0.9416148260621068
PAX8,FS Control,254,0.9924889118662432
C3,FS Control,448,0.9434586957535516
RORA,FS Control,248,0.8981794762514839
CDH11,FS Control,200,0.9080062058924422
SETD1A,FS Control,706,0.6912896189843886
ERBB3,FS Control,586,0.8192246503333914
CDK13,FS Control,248,0.5472628635624418
KCTD17,FS Control,108,0.8001752755813555
GMNN,FS Control,554,0.6975956328144931
CSF3R,FS Control,394,0.9937180905359724
SLC16A1,FS Control,134,0.7811258805278336
ABCA4,FS Control,262,0.9778255438618813
TBXT,FS Control,154,0.9829331356752912
